impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s,S,MAX_STRIPES,STRIPE_FACTOR
AGH,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.135814,14.726,0.754,0.102391,512,32,1
AGH,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.115305,17.345,0.888,0.102391,512,32,1
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.292093,6.847,0.508,0.148354,512,32,1
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.271012,7.380,0.547,0.148354,512,32,1
AGH,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,0.111259,17.976,0.527,0.058627,512,32,1
AGH,strong,80/20,uniform,16,2000000,1048576,0.80,0.00,0.105378,18.979,0.556,0.058627,512,32,1
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.90,0.287004,6.969,0.330,0.094617,512,32,1
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.90,0.257891,7.755,0.367,0.094617,512,32,1
AGH,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.143438,13.943,0.743,0.106561,512,32,2
AGH,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.116196,17.212,0.917,0.106561,512,32,2
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.291117,6.870,0.498,0.145079,512,32,2
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.269635,7.417,0.538,0.145079,512,32,2
AGH,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,0.112672,17.751,0.522,0.058816,512,32,2
AGH,strong,80/20,uniform,16,2000000,1048576,0.80,0.00,0.107124,18.670,0.549,0.058816,512,32,2
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.90,0.285256,7.011,0.335,0.095569,512,32,2
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.90,0.257235,7.775,0.372,0.095569,512,32,2
AGH,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.114731,17.432,0.955,0.109604,512,32,3
AGH,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.068385,29.246,1.603,0.109604,512,32,3
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.282889,7.070,0.524,0.148327,512,32,3
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.271451,7.368,0.546,0.148327,512,32,3
AGH,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,0.078212,25.572,0.754,0.058966,512,32,3
AGH,strong,80/20,uniform,16,2000000,1048576,0.80,0.00,0.047589,42.026,1.239,0.058966,512,32,3
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.90,0.279677,7.151,0.345,0.096426,512,32,3
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.90,0.254608,7.855,0.379,0.096426,512,32,3
