impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
AGH,strong,80/20,uniform,1,2000000,16384,0.80,0.00,3.034579,0.659,0.453,1.375494
AGH,strong,80/20,uniform,2,2000000,16384,0.80,0.00,1.556176,1.285,0.884,1.375494
AGH,strong,80/20,uniform,4,2000000,16384,0.80,0.00,0.798565,2.504,1.722,1.375494
AGH,strong,80/20,uniform,8,2000000,16384,0.80,0.00,0.418790,4.776,3.284,1.375494
AGH,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.280947,7.119,4.896,1.375494
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.70,2.580903,0.775,0.538,1.389683
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.70,1.451751,1.378,0.957,1.389683
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.70,0.833143,2.401,1.668,1.389683
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.70,0.574032,3.484,2.421,1.389683
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.484078,4.132,2.871,1.389683
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.90,2.098082,0.953,0.657,1.378875
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.90,1.186905,1.685,1.162,1.378875
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.90,0.798653,2.504,1.727,1.378875
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.90,0.619978,3.226,2.224,1.378875
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.477204,4.191,2.889,1.378875
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.99,1.882769,1.062,0.732,1.377502
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.99,1.099029,1.820,1.253,1.377502
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.99,0.703872,2.841,1.957,1.377502
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.99,0.574349,3.482,2.398,1.377502
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.481617,4.153,2.860,1.377502
AGH,strong,80/20,uniform,1,2000000,65536,0.80,0.00,0.819411,2.441,0.374,0.306829
AGH,strong,80/20,uniform,2,2000000,65536,0.80,0.00,0.566565,3.530,0.542,0.306829
AGH,strong,80/20,uniform,4,2000000,65536,0.80,0.00,0.332619,6.013,0.922,0.306829
AGH,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.211987,9.435,1.447,0.306829
AGH,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.154566,12.939,1.985,0.306829
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.70,0.904901,2.210,0.384,0.347660
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.70,0.500672,3.995,0.694,0.347660
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.70,0.358822,5.574,0.969,0.347660
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.70,0.328338,6.091,1.059,0.347660
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.70,0.306295,6.530,1.135,0.347660
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.90,0.771181,2.593,0.458,0.353241
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.90,0.439483,4.551,0.804,0.353241
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.90,0.338303,5.912,1.044,0.353241
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.321767,6.216,1.098,0.353241
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.295037,6.779,1.197,0.353241
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.99,0.712711,2.806,0.494,0.351866
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.99,0.410592,4.871,0.857,0.351866
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.99,0.323304,6.186,1.088,0.351866
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.99,0.320078,6.248,1.099,0.351866
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.99,0.289337,6.912,1.216,0.351866
AGH,strong,80/20,uniform,1,2000000,262144,0.80,0.00,0.397411,5.033,0.268,0.106340
AGH,strong,80/20,uniform,2,2000000,262144,0.80,0.00,0.297152,6.731,0.358,0.106340
AGH,strong,80/20,uniform,4,2000000,262144,0.80,0.00,0.202200,9.891,0.526,0.106340
AGH,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.135875,14.719,0.783,0.106340
AGH,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.113571,17.610,0.936,0.106340
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.70,0.520503,3.842,0.289,0.150498
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.70,0.297000,6.734,0.507,0.150498
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.70,0.267133,7.487,0.563,0.150498
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.70,0.306551,6.524,0.491,0.150498
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.70,0.283055,7.066,0.532,0.150498
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.90,0.474886,4.212,0.310,0.147014
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.90,0.273278,7.319,0.538,0.147014
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.90,0.252900,7.908,0.581,0.147014
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.292855,6.829,0.502,0.147014
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.271456,7.368,0.542,0.147014
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.99,0.449126,4.453,0.322,0.144778
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.99,0.261599,7.645,0.553,0.144778
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.99,0.247785,8.072,0.584,0.144778
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.99,0.287944,6.946,0.503,0.144778
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.99,0.265976,7.519,0.544,0.144778
AGH,strong,80/20,uniform,1,2000000,1048576,0.80,0.00,0.349245,5.727,0.167,0.058304
AGH,strong,80/20,uniform,2,2000000,1048576,0.80,0.00,0.245348,8.152,0.238,0.058304
AGH,strong,80/20,uniform,4,2000000,1048576,0.80,0.00,0.158357,12.630,0.368,0.058304
AGH,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,0.110424,18.112,0.528,0.058304
AGH,strong,80/20,uniform,16,2000000,1048576,0.80,0.00,0.105263,19.000,0.554,0.058304
AGH,strong,80/20,skew,1,2000000,1048576,0.80,0.70,0.432806,4.621,0.229,0.099231
AGH,strong,80/20,skew,2,2000000,1048576,0.80,0.70,0.249996,8.000,0.397,0.099231
AGH,strong,80/20,skew,4,2000000,1048576,0.80,0.70,0.253511,7.889,0.391,0.099231
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.70,0.299267,6.683,0.332,0.099231
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.70,0.270266,7.400,0.367,0.099231
AGH,strong,80/20,skew,1,2000000,1048576,0.80,0.90,0.403429,4.957,0.234,0.094327
AGH,strong,80/20,skew,2,2000000,1048576,0.80,0.90,0.238142,8.398,0.396,0.094327
AGH,strong,80/20,skew,4,2000000,1048576,0.80,0.90,0.241638,8.277,0.390,0.094327
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.90,0.286570,6.979,0.329,0.094327
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.90,0.257085,7.780,0.367,0.094327
AGH,strong,80/20,skew,1,2000000,1048576,0.80,0.99,0.388651,5.146,0.238,0.092387
AGH,strong,80/20,skew,2,2000000,1048576,0.80,0.99,0.231876,8.625,0.398,0.092387
AGH,strong,80/20,skew,4,2000000,1048576,0.80,0.99,0.237759,8.412,0.389,0.092387
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.99,0.285804,6.998,0.323,0.092387
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.99,0.252083,7.934,0.366,0.092387
AGH,strong,50/50,uniform,1,2000000,16384,0.50,0.00,3.342531,0.598,0.722,2.414014
AGH,strong,50/50,uniform,2,2000000,16384,0.50,0.00,2.255856,0.887,1.070,2.414014
AGH,strong,50/50,uniform,4,2000000,16384,0.50,0.00,1.285202,1.556,1.878,2.414014
AGH,strong,50/50,uniform,8,2000000,16384,0.50,0.00,0.749665,2.668,3.220,2.414014
AGH,strong,50/50,uniform,16,2000000,16384,0.50,0.00,0.496566,4.028,4.861,2.414014
AGH,strong,50/50,skew,1,2000000,16384,0.50,0.70,3.528239,0.567,0.729,2.572706
AGH,strong,50/50,skew,2,2000000,16384,0.50,0.70,2.193192,0.912,1.173,2.572706
AGH,strong,50/50,skew,4,2000000,16384,0.50,0.70,1.293789,1.546,1.989,2.572706
AGH,strong,50/50,skew,8,2000000,16384,0.50,0.70,0.828073,2.415,3.107,2.572706
AGH,strong,50/50,skew,16,2000000,16384,0.50,0.70,0.587208,3.406,4.381,2.572706
AGH,strong,50/50,skew,1,2000000,16384,0.50,0.90,3.253762,0.615,0.794,2.584530
AGH,strong,50/50,skew,2,2000000,16384,0.50,0.90,2.047390,0.977,1.262,2.584530
