impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
AGH,strong,80/20,uniform,1,2000000,16384,0.80,0.00,3.047541,0.656,0.454,1.383582
AGH,strong,80/20,uniform,2,2000000,16384,0.80,0.00,1.478737,1.353,0.936,1.383582
AGH,strong,80/20,uniform,4,2000000,16384,0.80,0.00,0.746892,2.678,1.852,1.383582
AGH,strong,80/20,uniform,8,2000000,16384,0.80,0.00,0.430629,4.644,3.213,1.383582
AGH,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.272835,7.330,5.071,1.383582
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.70,2.578428,0.776,0.539,1.388843
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.70,1.447101,1.382,0.960,1.388843
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.70,0.819858,2.439,1.694,1.388843
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.70,0.574066,3.484,2.419,1.388843
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.471461,4.242,2.946,1.388843
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.90,2.091860,0.956,0.657,1.374912
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.90,1.188497,1.683,1.157,1.374912
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.90,0.747947,2.674,1.838,1.374912
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.90,0.561277,3.563,2.450,1.374912
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.476001,4.202,2.888,1.374912
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.99,1.873728,1.067,0.738,1.382551
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.99,1.105080,1.810,1.251,1.382551
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.99,0.708006,2.825,1.953,1.382551
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.99,0.560352,3.569,2.467,1.382551
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.475546,4.206,2.907,1.382551
AGH,strong,80/20,uniform,1,2000000,65536,0.80,0.00,0.790408,2.530,0.378,0.298854
AGH,strong,80/20,uniform,2,2000000,65536,0.80,0.00,0.551820,3.624,0.542,0.298854
AGH,strong,80/20,uniform,4,2000000,65536,0.80,0.00,0.338447,5.909,0.883,0.298854
AGH,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.203058,9.849,1.472,0.298854
AGH,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.156242,12.801,1.913,0.298854
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.70,0.903134,2.215,0.396,0.358039
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.70,0.500622,3.995,0.715,0.358039
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.70,0.358132,5.585,1.000,0.358039
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.70,0.323888,6.175,1.105,0.358039
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.70,0.307615,6.502,1.164,0.358039
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.90,0.772877,2.588,0.458,0.353685
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.90,0.437417,4.572,0.809,0.353685
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.90,0.332758,6.010,1.063,0.353685
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.320869,6.233,1.102,0.353685
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.289942,6.898,1.220,0.353685
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.99,0.711173,2.812,0.495,0.351681
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.99,0.401913,4.976,0.875,0.351681
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.99,0.326300,6.129,1.078,0.351681
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.99,0.317986,6.290,1.106,0.351681
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.99,0.284860,7.021,1.235,0.351681
AGH,strong,80/20,uniform,1,2000000,262144,0.80,0.00,0.395842,5.053,0.257,0.101789
AGH,strong,80/20,uniform,2,2000000,262144,0.80,0.00,0.296198,6.752,0.344,0.101789
AGH,strong,80/20,uniform,4,2000000,262144,0.80,0.00,0.199136,10.043,0.511,0.101789
AGH,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.134759,14.841,0.755,0.101789
AGH,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.114944,17.400,0.886,0.101789
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.70,0.519942,3.847,0.275,0.142942
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.70,0.299364,6.681,0.477,0.142942
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.70,0.266887,7.494,0.536,0.142942
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.70,0.301092,6.642,0.475,0.142942
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.70,0.280557,7.129,0.509,0.142942
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.90,0.472866,4.230,0.307,0.145206
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.90,0.273296,7.318,0.531,0.145206
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.90,0.252851,7.910,0.574,0.145206
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.289999,6.897,0.501,0.145206
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.268280,7.455,0.541,0.145206
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.99,0.448975,4.455,0.320,0.143547
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.99,0.260817,7.668,0.550,0.143547
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.99,0.246678,8.108,0.582,0.143547
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.99,0.283110,7.064,0.507,0.143547
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.99,0.263889,7.579,0.544,0.143547
AGH,strong,80/20,uniform,1,2000000,1048576,0.80,0.00,0.349256,5.726,0.172,0.060056
AGH,strong,80/20,uniform,2,2000000,1048576,0.80,0.00,0.245288,8.154,0.245,0.060056
AGH,strong,80/20,uniform,4,2000000,1048576,0.80,0.00,0.154661,12.931,0.388,0.060056
AGH,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,0.109289,18.300,0.550,0.060056
AGH,strong,80/20,uniform,16,2000000,1048576,0.80,0.00,0.105516,18.955,0.569,0.060056
AGH,strong,80/20,skew,1,2000000,1048576,0.80,0.70,0.433197,4.617,0.229,0.099253
AGH,strong,80/20,skew,2,2000000,1048576,0.80,0.70,0.249665,8.011,0.398,0.099253
AGH,strong,80/20,skew,4,2000000,1048576,0.80,0.70,0.252798,7.911,0.393,0.099253
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.70,0.294535,6.790,0.337,0.099253
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.70,0.267866,7.466,0.371,0.099253
AGH,strong,80/20,skew,1,2000000,1048576,0.80,0.90,0.402903,4.964,0.240,0.096554
AGH,strong,80/20,skew,2,2000000,1048576,0.80,0.90,0.238432,8.388,0.405,0.096554
AGH,strong,80/20,skew,4,2000000,1048576,0.80,0.90,0.241794,8.272,0.399,0.096554
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.90,0.283258,7.061,0.341,0.096554
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.90,0.255289,7.834,0.378,0.096554
AGH,strong,80/20,skew,1,2000000,1048576,0.80,0.99,0.388992,5.141,0.247,0.095958
AGH,strong,80/20,skew,2,2000000,1048576,0.80,0.99,0.232003,8.621,0.414,0.095958
AGH,strong,80/20,skew,4,2000000,1048576,0.80,0.99,0.238193,8.397,0.403,0.095958
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.99,0.279368,7.159,0.343,0.095958
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.99,0.250181,7.994,0.384,0.095958
AGH,strong,50/50,uniform,1,2000000,16384,0.50,0.00,3.479646,0.575,0.707,2.461652
AGH,strong,50/50,uniform,2,2000000,16384,0.50,0.00,2.187282,0.914,1.125,2.461652
AGH,strong,50/50,uniform,4,2000000,16384,0.50,0.00,1.304051,1.534,1.888,2.461652
AGH,strong,50/50,uniform,8,2000000,16384,0.50,0.00,0.772259,2.590,3.188,2.461652
AGH,strong,50/50,uniform,16,2000000,16384,0.50,0.00,0.500385,3.997,4.920,2.461652
AGH,strong,50/50,skew,1,2000000,16384,0.50,0.70,3.513998,0.569,0.735,2.583012
AGH,strong,50/50,skew,2,2000000,16384,0.50,0.70,2.156974,0.927,1.198,2.583012
AGH,strong,50/50,skew,4,2000000,16384,0.50,0.70,1.292880,1.547,1.998,2.583012
AGH,strong,50/50,skew,8,2000000,16384,0.50,0.70,0.804433,2.486,3.211,2.583012
AGH,strong,50/50,skew,16,2000000,16384,0.50,0.70,0.599028,3.339,4.312,2.583012
AGH,strong,50/50,skew,1,2000000,16384,0.50,0.90,3.245754,0.616,0.790,2.565140
AGH,strong,50/50,skew,2,2000000,16384,0.50,0.90,2.026619,0.987,1.266,2.565140
AGH,strong,50/50,skew,4,2000000,16384,0.50,0.90,1.233144,1.622,2.080,2.565140
AGH,strong,50/50,skew,8,2000000,16384,0.50,0.90,0.796020,2.512,3.222,2.565140
AGH,strong,50/50,skew,16,2000000,16384,0.50,0.90,0.596115,3.355,4.303,2.565140
AGH,strong,50/50,skew,1,2000000,16384,0.50,0.99,3.109240,0.643,0.824,2.562725
AGH,strong,50/50,skew,2,2000000,16384,0.50,0.99,1.942863,1.029,1.319,2.562725
AGH,strong,50/50,skew,4,2000000,16384,0.50,0.99,1.237865,1.616,2.070,2.562725
AGH,strong,50/50,skew,8,2000000,16384,0.50,0.99,0.791286,2.528,3.239,2.562725
AGH,strong,50/50,skew,16,2000000,16384,0.50,0.99,0.598743,3.340,4.280,2.562725
AGH,strong,50/50,uniform,1,2000000,65536,0.50,0.00,0.962226,2.079,0.487,0.468391
AGH,strong,50/50,uniform,2,2000000,65536,0.50,0.00,0.717659,2.787,0.653,0.468391
AGH,strong,50/50,uniform,4,2000000,65536,0.50,0.00,0.453115,4.414,1.034,0.468391
AGH,strong,50/50,uniform,8,2000000,65536,0.50,0.00,0.281394,7.107,1.665,0.468391
AGH,strong,50/50,uniform,16,2000000,65536,0.50,0.00,0.221636,9.024,2.113,0.468391
AGH,strong,50/50,skew,1,2000000,65536,0.50,0.70,1.019032,1.963,0.522,0.532073
AGH,strong,50/50,skew,2,2000000,65536,0.50,0.70,0.685108,2.919,0.777,0.532073
AGH,strong,50/50,skew,4,2000000,65536,0.50,0.70,0.484246,4.130,1.099,0.532073
AGH,strong,50/50,skew,8,2000000,65536,0.50,0.70,0.361865,5.527,1.470,0.532073
AGH,strong,50/50,skew,16,2000000,65536,0.50,0.70,0.332291,6.019,1.601,0.532073
AGH,strong,50/50,skew,1,2000000,65536,0.50,0.90,0.930215,2.150,0.569,0.529388
AGH,strong,50/50,skew,2,2000000,65536,0.50,0.90,0.647511,3.089,0.818,0.529388
AGH,strong,50/50,skew,4,2000000,65536,0.50,0.90,0.467449,4.279,1.133,0.529388
AGH,strong,50/50,skew,8,2000000,65536,0.50,0.90,0.355241,5.630,1.490,0.529388
AGH,strong,50/50,skew,16,2000000,65536,0.50,0.90,0.323818,6.176,1.635,0.529388
AGH,strong,50/50,skew,1,2000000,65536,0.50,0.99,0.886382,2.256,0.596,0.528596
AGH,strong,50/50,skew,2,2000000,65536,0.50,0.99,0.630024,3.174,0.839,0.528596
