impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
AGH,strong,80/20,uniform,1,2000000,16384,0.80,0.00,3.041384,0.658,0.453,1.378890
AGH,strong,80/20,uniform,2,2000000,16384,0.80,0.00,1.465572,1.365,0.941,1.378890
AGH,strong,80/20,uniform,4,2000000,16384,0.80,0.00,0.748849,2.671,1.841,1.378890
AGH,strong,80/20,uniform,8,2000000,16384,0.80,0.00,0.437876,4.567,3.149,1.378890
AGH,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.289397,6.911,4.765,1.378890
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.70,2.587945,0.773,0.535,1.384029
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.70,1.451615,1.378,0.953,1.384029
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.70,0.856237,2.336,1.616,1.384029
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.70,0.592506,3.375,2.336,1.384029
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.483260,4.139,2.864,1.384029
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.90,2.104645,0.950,0.658,1.385313
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.90,1.233627,1.621,1.123,1.385313
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.90,0.732654,2.730,1.891,1.385313
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.90,0.604062,3.311,2.293,1.385313
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.468759,4.267,2.955,1.385313
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.99,1.868430,1.070,0.733,1.369456
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.99,1.065590,1.877,1.285,1.369456
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.99,0.764721,2.615,1.791,1.369456
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.99,0.565536,3.536,2.422,1.369456
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.478391,4.181,2.863,1.369456
AGH,strong,80/20,uniform,1,2000000,65536,0.80,0.00,0.769843,2.598,0.382,0.293721
AGH,strong,80/20,uniform,2,2000000,65536,0.80,0.00,0.542868,3.684,0.541,0.293721
AGH,strong,80/20,uniform,4,2000000,65536,0.80,0.00,0.326482,6.126,0.900,0.293721
AGH,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.208770,9.580,1.407,0.293721
AGH,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.162452,12.311,1.808,0.293721
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.70,0.899808,2.223,0.388,0.349296
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.70,0.501022,3.992,0.697,0.349296
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.70,0.356242,5.614,0.981,0.349296
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.70,0.327264,6.111,1.067,0.349296
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.70,0.304428,6.570,1.147,0.349296
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.90,0.772905,2.588,0.458,0.353832
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.90,0.434574,4.602,0.814,0.353832
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.90,0.335454,5.962,1.055,0.353832
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.321692,6.217,1.100,0.353832
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.292707,6.833,1.209,0.353832
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.99,0.712832,2.806,0.484,0.344785
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.99,0.405534,4.932,0.850,0.344785
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.99,0.324240,6.168,1.063,0.344785
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.99,0.322211,6.207,1.070,0.344785
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.99,0.288992,6.921,1.193,0.344785
AGH,strong,80/20,uniform,1,2000000,262144,0.80,0.00,0.396514,5.044,0.258,0.102391
AGH,strong,80/20,uniform,2,2000000,262144,0.80,0.00,0.297999,6.711,0.344,0.102391
AGH,strong,80/20,uniform,4,2000000,262144,0.80,0.00,0.211843,9.441,0.483,0.102391
AGH,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.135814,14.726,0.754,0.102391
AGH,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.115305,17.345,0.888,0.102391
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.70,0.516383,3.873,0.293,0.151383
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.70,0.295147,6.776,0.513,0.151383
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.70,0.264519,7.561,0.572,0.151383
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.70,0.305043,6.556,0.496,0.151383
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.70,0.282637,7.076,0.536,0.151383
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.90,0.474201,4.218,0.313,0.148354
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.90,0.273512,7.312,0.542,0.148354
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.90,0.257176,7.777,0.577,0.148354
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.292093,6.847,0.508,0.148354
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.271012,7.380,0.547,0.148354
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.99,0.451544,4.429,0.317,0.143235
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.99,0.261872,7.637,0.547,0.143235
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.99,0.245479,8.147,0.583,0.143235
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.99,0.285858,6.996,0.501,0.143235
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.99,0.265814,7.524,0.539,0.143235
AGH,strong,80/20,uniform,1,2000000,1048576,0.80,0.00,0.348462,5.740,0.168,0.058627
AGH,strong,80/20,uniform,2,2000000,1048576,0.80,0.00,0.242678,8.241,0.242,0.058627
AGH,strong,80/20,uniform,4,2000000,1048576,0.80,0.00,0.154596,12.937,0.379,0.058627
AGH,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,0.111259,17.976,0.527,0.058627
AGH,strong,80/20,uniform,16,2000000,1048576,0.80,0.00,0.105378,18.979,0.556,0.058627
AGH,strong,80/20,skew,1,2000000,1048576,0.80,0.70,0.431943,4.630,0.229,0.098847
AGH,strong,80/20,skew,2,2000000,1048576,0.80,0.70,0.250460,7.985,0.395,0.098847
AGH,strong,80/20,skew,4,2000000,1048576,0.80,0.70,0.252300,7.927,0.392,0.098847
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.70,0.296569,6.744,0.333,0.098847
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.70,0.268904,7.438,0.368,0.098847
AGH,strong,80/20,skew,1,2000000,1048576,0.80,0.90,0.404259,4.947,0.234,0.094617
AGH,strong,80/20,skew,2,2000000,1048576,0.80,0.90,0.238327,8.392,0.397,0.094617
AGH,strong,80/20,skew,4,2000000,1048576,0.80,0.90,0.241212,8.291,0.392,0.094617
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.90,0.287004,6.969,0.330,0.094617
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.90,0.257891,7.755,0.367,0.094617
AGH,strong,80/20,skew,1,2000000,1048576,0.80,0.99,0.390062,5.127,0.238,0.092746
AGH,strong,80/20,skew,2,2000000,1048576,0.80,0.99,0.232085,8.618,0.400,0.092746
AGH,strong,80/20,skew,4,2000000,1048576,0.80,0.99,0.235956,8.476,0.393,0.092746
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.99,0.281846,7.096,0.329,0.092746
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.99,0.252080,7.934,0.368,0.092746
AGH,strong,50/50,uniform,1,2000000,16384,0.50,0.00,3.234795,0.618,0.725,2.345472
AGH,strong,50/50,uniform,2,2000000,16384,0.50,0.00,2.171259,0.921,1.080,2.345472
AGH,strong,50/50,uniform,4,2000000,16384,0.50,0.00,1.309260,1.528,1.791,2.345472
AGH,strong,50/50,uniform,8,2000000,16384,0.50,0.00,0.785222,2.547,2.987,2.345472
AGH,strong,50/50,uniform,16,2000000,16384,0.50,0.00,0.500029,4.000,4.691,2.345472
AGH,strong,50/50,skew,1,2000000,16384,0.50,0.70,3.401666,0.588,0.715,2.432689
AGH,strong,50/50,skew,2,2000000,16384,0.50,0.70,2.157644,0.927,1.127,2.432689
AGH,strong,50/50,skew,4,2000000,16384,0.50,0.70,1.371034,1.459,1.774,2.432689
AGH,strong,50/50,skew,8,2000000,16384,0.50,0.70,0.814996,2.454,2.985,2.432689
AGH,strong,50/50,skew,16,2000000,16384,0.50,0.70,0.585678,3.415,4.154,2.432689
AGH,strong,50/50,skew,1,2000000,16384,0.50,0.90,3.153722,0.634,0.781,2.464402
AGH,strong,50/50,skew,2,2000000,16384,0.50,0.90,1.994724,1.003,1.235,2.464402
AGH,strong,50/50,skew,4,2000000,16384,0.50,0.90,1.310863,1.526,1.880,2.464402
AGH,strong,50/50,skew,8,2000000,16384,0.50,0.90,0.801859,2.494,3.073,2.464402
AGH,strong,50/50,skew,16,2000000,16384,0.50,0.90,0.588299,3.400,4.189,2.464402
AGH,strong,50/50,skew,1,2000000,16384,0.50,0.99,3.060787,0.653,0.819,2.507174
AGH,strong,50/50,skew,2,2000000,16384,0.50,0.99,1.928065,1.037,1.300,2.507174
AGH,strong,50/50,skew,4,2000000,16384,0.50,0.99,1.205061,1.660,2.081,2.507174
AGH,strong,50/50,skew,8,2000000,16384,0.50,0.99,0.799967,2.500,3.134,2.507174
AGH,strong,50/50,skew,16,2000000,16384,0.50,0.99,0.582706,3.432,4.303,2.507174
AGH,strong,50/50,uniform,1,2000000,65536,0.50,0.00,0.901877,2.218,0.471,0.424693
AGH,strong,50/50,uniform,2,2000000,65536,0.50,0.00,0.731427,2.734,0.581,0.424693
AGH,strong,50/50,uniform,4,2000000,65536,0.50,0.00,0.446906,4.475,0.950,0.424693
AGH,strong,50/50,uniform,8,2000000,65536,0.50,0.00,0.284229,7.037,1.494,0.424693
AGH,strong,50/50,uniform,16,2000000,65536,0.50,0.00,0.227419,8.794,1.867,0.424693
AGH,strong,50/50,skew,1,2000000,65536,0.50,0.70,0.960915,2.081,0.522,0.501146
AGH,strong,50/50,skew,2,2000000,65536,0.50,0.70,0.694833,2.878,0.721,0.501146
AGH,strong,50/50,skew,4,2000000,65536,0.50,0.70,0.480578,4.162,1.043,0.501146
AGH,strong,50/50,skew,8,2000000,65536,0.50,0.70,0.365663,5.470,1.371,0.501146
AGH,strong,50/50,skew,16,2000000,65536,0.50,0.70,0.335131,5.968,1.495,0.501146
AGH,strong,50/50,skew,1,2000000,65536,0.50,0.90,0.864613,2.313,0.566,0.489567
AGH,strong,50/50,skew,2,2000000,65536,0.50,0.90,0.656835,3.045,0.745,0.489567
AGH,strong,50/50,skew,4,2000000,65536,0.50,0.90,0.462693,4.323,1.058,0.489567
AGH,strong,50/50,skew,8,2000000,65536,0.50,0.90,0.358373,5.581,1.366,0.489567
AGH,strong,50/50,skew,16,2000000,65536,0.50,0.90,0.324175,6.170,1.510,0.489567
