impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
AGH,strong,80/20,uniform,1,2000000,16384,0.80,0.00,3.048630,0.656,0.454,1.384675
AGH,strong,80/20,uniform,2,2000000,16384,0.80,0.00,1.467230,1.363,0.944,1.384675
AGH,strong,80/20,uniform,4,2000000,16384,0.80,0.00,0.801139,2.496,1.728,1.384675
AGH,strong,80/20,uniform,8,2000000,16384,0.80,0.00,0.422457,4.734,3.278,1.384675
AGH,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.275664,7.255,5.023,1.384675
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.70,2.591905,0.772,0.535,1.387959
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.70,1.463054,1.367,0.949,1.387959
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.70,0.829464,2.411,1.673,1.387959
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.70,0.568970,3.515,2.439,1.387959
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.476527,4.197,2.913,1.387959
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.90,2.094887,0.955,0.656,1.373983
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.90,1.191704,1.678,1.153,1.373983
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.90,0.741496,2.697,1.853,1.373983
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.90,0.565947,3.534,2.428,1.373983
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.491939,4.066,2.793,1.373983
AGH,strong,80/20,skew,1,2000000,16384,0.80,0.99,1.889691,1.058,0.734,1.386451
AGH,strong,80/20,skew,2,2000000,16384,0.80,0.99,1.072993,1.864,1.292,1.386451
AGH,strong,80/20,skew,4,2000000,16384,0.80,0.99,0.710351,2.816,1.952,1.386451
AGH,strong,80/20,skew,8,2000000,16384,0.80,0.99,0.563807,3.547,2.459,1.386451
AGH,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.481590,4.153,2.879,1.386451
AGH,strong,80/20,uniform,1,2000000,65536,0.80,0.00,0.795549,2.514,0.381,0.303162
AGH,strong,80/20,uniform,2,2000000,65536,0.80,0.00,0.546019,3.663,0.555,0.303162
AGH,strong,80/20,uniform,4,2000000,65536,0.80,0.00,0.335928,5.954,0.902,0.303162
AGH,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.208174,9.607,1.456,0.303162
AGH,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.160828,12.436,1.885,0.303162
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.70,0.911331,2.195,0.368,0.335608
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.70,0.504290,3.966,0.666,0.335608
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.70,0.360962,5.541,0.930,0.335608
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.70,0.327915,6.099,1.023,0.335608
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.70,0.307937,6.495,1.090,0.335608
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.90,0.777863,2.571,0.448,0.348822
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.90,0.441853,4.526,0.789,0.348822
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.90,0.336212,5.949,1.038,0.348822
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.321712,6.217,1.084,0.348822
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.295521,6.768,1.180,0.348822
AGH,strong,80/20,skew,1,2000000,65536,0.80,0.99,0.712541,2.807,0.486,0.346564
AGH,strong,80/20,skew,2,2000000,65536,0.80,0.99,0.408741,4.893,0.848,0.346564
AGH,strong,80/20,skew,4,2000000,65536,0.80,0.99,0.327580,6.105,1.058,0.346564
AGH,strong,80/20,skew,8,2000000,65536,0.80,0.99,0.320576,6.239,1.081,0.346564
AGH,strong,80/20,skew,16,2000000,65536,0.80,0.99,0.289344,6.912,1.198,0.346564
AGH,strong,80/20,uniform,1,2000000,262144,0.80,0.00,0.401499,4.981,0.262,0.105263
AGH,strong,80/20,uniform,2,2000000,262144,0.80,0.00,0.289755,6.902,0.363,0.105263
AGH,strong,80/20,uniform,4,2000000,262144,0.80,0.00,0.199811,10.009,0.527,0.105263
AGH,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.137815,14.512,0.764,0.105263
AGH,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.118799,16.835,0.886,0.105263
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.70,0.522935,3.825,0.285,0.149062
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.70,0.299501,6.678,0.498,0.149062
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.70,0.267735,7.470,0.557,0.149062
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.70,0.307940,6.495,0.484,0.149062
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.70,0.284513,7.030,0.524,0.149062
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.90,0.476312,4.199,0.306,0.145565
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.90,0.277301,7.212,0.525,0.145565
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.90,0.254735,7.851,0.571,0.145565
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.295477,6.769,0.493,0.145565
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.272214,7.347,0.535,0.145565
AGH,strong,80/20,skew,1,2000000,262144,0.80,0.99,0.457760,4.369,0.310,0.142032
AGH,strong,80/20,skew,2,2000000,262144,0.80,0.99,0.267687,7.471,0.531,0.142032
AGH,strong,80/20,skew,4,2000000,262144,0.80,0.99,0.248623,8.044,0.571,0.142032
AGH,strong,80/20,skew,8,2000000,262144,0.80,0.99,0.294307,6.796,0.483,0.142032
AGH,strong,80/20,skew,16,2000000,262144,0.80,0.99,0.266479,7.505,0.533,0.142032
AGH,strong,80/20,uniform,1,2000000,1048576,0.80,0.00,0.354159,5.647,0.172,0.060889
AGH,strong,80/20,uniform,2,2000000,1048576,0.80,0.00,0.246826,8.103,0.247,0.060889
AGH,strong,80/20,uniform,4,2000000,1048576,0.80,0.00,0.157269,12.717,0.387,0.060889
AGH,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,0.114151,17.521,0.533,0.060889
AGH,strong,80/20,uniform,16,2000000,1048576,0.80,0.00,0.110730,18.062,0.550,0.060889
AGH,strong,80/20,skew,1,2000000,1048576,0.80,0.70,0.437897,4.567,0.226,0.098971
AGH,strong,80/20,skew,2,2000000,1048576,0.80,0.70,0.249674,8.010,0.396,0.098971
AGH,strong,80/20,skew,4,2000000,1048576,0.80,0.70,0.255370,7.832,0.388,0.098971
AGH,strong,80/20,skew,8,2000000,1048576,0.80,0.70,0.301529,6.633,0.328,0.098971
AGH,strong,80/20,skew,16,2000000,1048576,0.80,0.70,0.272441,7.341,0.363,0.098971
