impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
Segment,strong,80/20,uniform,1,2000000,16384,0.80,0.00,2.685285,0.745,0.514,1.379708
Segment,strong,80/20,uniform,2,2000000,16384,0.80,0.00,1.397992,1.431,0.987,1.379708
Segment,strong,80/20,uniform,4,2000000,16384,0.80,0.00,0.816771,2.449,1.689,1.379708
Segment,strong,80/20,uniform,8,2000000,16384,0.80,0.00,0.425493,4.700,3.243,1.379708
Segment,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.266861,7.495,5.170,1.379708
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.70,2.350714,0.851,0.598,1.406021
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.70,1.365357,1.465,1.030,1.406021
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.70,0.811389,2.465,1.733,1.406021
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.70,0.587260,3.406,2.394,1.406021
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.479063,4.175,2.935,1.406021
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.90,1.898528,1.053,0.739,1.403940
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.90,1.113766,1.796,1.261,1.403940
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.90,0.720659,2.775,1.948,1.403940
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.90,0.562791,3.554,2.495,1.403940
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.480604,4.161,2.921,1.403940
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.99,1.717667,1.164,0.822,1.412566
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.99,1.022213,1.957,1.382,1.412566
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.99,0.689530,2.901,2.049,1.412566
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.99,0.562305,3.557,2.512,1.412566
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.476024,4.201,2.967,1.412566
Segment,strong,80/20,uniform,1,2000000,65536,0.80,0.00,0.741052,2.699,0.429,0.317663
Segment,strong,80/20,uniform,2,2000000,65536,0.80,0.00,0.527903,3.789,0.602,0.317663
Segment,strong,80/20,uniform,4,2000000,65536,0.80,0.00,0.317341,6.302,1.001,0.317663
