impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
Segment,strong,80/20,uniform,1,2000000,16384,0.80,0.00,2.676110,0.747,0.509,1.362882
Segment,strong,80/20,uniform,2,2000000,16384,0.80,0.00,1.411667,1.417,0.965,1.362882
Segment,strong,80/20,uniform,4,2000000,16384,0.80,0.00,0.838535,2.385,1.625,1.362882
Segment,strong,80/20,uniform,8,2000000,16384,0.80,0.00,0.479177,4.174,2.844,1.362882
Segment,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.335893,5.954,4.057,1.362882
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.70,2.353601,0.850,0.584,1.375286
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.70,1.493961,1.339,0.921,1.375286
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.70,0.897183,2.229,1.533,1.375286
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.70,0.643550,3.108,2.137,1.375286
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.544647,3.672,2.525,1.375286
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.90,1.883642,1.062,0.728,1.370606
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.90,1.236147,1.618,1.109,1.370606
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.90,0.818266,2.444,1.675,1.370606
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.90,0.636694,3.141,2.153,1.370606
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.539675,3.706,2.540,1.370606
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.99,1.675304,1.194,0.818,1.370404
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.99,1.121613,1.783,1.222,1.370404
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.99,0.774232,2.583,1.770,1.370404
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.99,0.627381,3.188,2.184,1.370404
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.537671,3.720,2.549,1.370404
Segment,strong,80/20,uniform,1,2000000,65536,0.80,0.00,0.680153,2.941,0.436,0.296404
Segment,strong,80/20,uniform,2,2000000,65536,0.80,0.00,0.574714,3.480,0.516,0.296404
Segment,strong,80/20,uniform,4,2000000,65536,0.80,0.00,0.350883,5.700,0.845,0.296404
Segment,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.214435,9.327,1.382,0.296404
Segment,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.158657,12.606,1.868,0.296404
Segment,strong,80/20,skew,1,2000000,65536,0.80,0.70,0.748340,2.673,0.463,0.346493
Segment,strong,80/20,skew,2,2000000,65536,0.80,0.70,0.483937,4.133,0.716,0.346493
Segment,strong,80/20,skew,4,2000000,65536,0.80,0.70,0.376499,5.312,0.920,0.346493
Segment,strong,80/20,skew,8,2000000,65536,0.80,0.70,0.344793,5.801,1.005,0.346493
Segment,strong,80/20,skew,16,2000000,65536,0.80,0.70,0.330183,6.057,1.049,0.346493
Segment,strong,80/20,skew,1,2000000,65536,0.80,0.90,0.619066,3.231,0.553,0.342054
Segment,strong,80/20,skew,2,2000000,65536,0.80,0.90,0.417664,4.789,0.819,0.342054
Segment,strong,80/20,skew,4,2000000,65536,0.80,0.90,0.363077,5.508,0.942,0.342054
Segment,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.339695,5.888,1.007,0.342054
Segment,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.314224,6.365,1.089,0.342054
