S,impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup
S256,Segment,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.326900,6.118,1.118
S256,Segment,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.296621,6.743,1.232
S256,Segment,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.125878,15.888,0.824
S256,Segment,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.110904,18.034,0.936
S256,Segment,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.295270,6.773,0.499
S256,Segment,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.273142,7.322,0.539
S256,Segment,strong,50/50,uniform,8,2000000,65536,0.50,0.00,0.281483,7.105,2.408
S256,Segment,strong,50/50,uniform,16,2000000,65536,0.50,0.00,0.222365,8.994,3.048
S256,Segment,strong,50/50,skew,8,2000000,65536,0.50,0.90,0.360587,5.547,2.186
S256,Segment,strong,50/50,skew,16,2000000,65536,0.50,0.90,0.328921,6.080,2.396
S256,Segment,strong,50/50,uniform,8,2000000,262144,0.50,0.00,0.189947,10.529,0.855
S256,Segment,strong,50/50,uniform,16,2000000,262144,0.50,0.00,0.184601,10.834,0.880
S256,Segment,strong,50/50,skew,8,2000000,262144,0.50,0.90,0.314549,6.358,0.711
S256,Segment,strong,50/50,skew,16,2000000,262144,0.50,0.90,0.288327,6.937,0.775
S512,Segment,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.217974,9.175,1.482
S512,Segment,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.149958,13.337,2.154
S512,Segment,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.332832,6.009,1.095
S512,Segment,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.291536,6.860,1.250
S512,Segment,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.131523,15.206,0.808
S512,Segment,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.110151,18.157,0.965
S512,Segment,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.295608,6.766,0.495
S512,Segment,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.272021,7.352,0.538
S512,Segment,strong,50/50,uniform,8,2000000,65536,0.50,0.00,0.301873,6.625,2.379
S512,Segment,strong,50/50,uniform,16,2000000,65536,0.50,0.00,0.224951,8.891,3.192
S512,Segment,strong,50/50,skew,8,2000000,65536,0.50,0.90,0.370184,5.403,2.252
S512,Segment,strong,50/50,skew,16,2000000,65536,0.50,0.90,0.330971,6.043,2.519
S512,Segment,strong,50/50,uniform,8,2000000,262144,0.50,0.00,0.194630,10.276,0.895
S512,Segment,strong,50/50,uniform,16,2000000,262144,0.50,0.00,0.182014,10.988,0.957
S512,Segment,strong,50/50,skew,8,2000000,262144,0.50,0.90,0.317121,6.307,0.685
S512,Segment,strong,50/50,skew,16,2000000,262144,0.50,0.90,0.287017,6.968,0.757
