impl,mode,mix,dist,threads,ops,bucket_count,read_ratio,p_hot,time_s,throughput_mops,speedup,seq_baseline_s
Segment,strong,80/20,uniform,1,2000000,16384,0.80,0.00,2.657635,0.753,0.522,1.388191
Segment,strong,80/20,uniform,2,2000000,16384,0.80,0.00,1.409734,1.419,0.985,1.388191
Segment,strong,80/20,uniform,4,2000000,16384,0.80,0.00,0.826315,2.420,1.680,1.388191
Segment,strong,80/20,uniform,8,2000000,16384,0.80,0.00,0.449139,4.453,3.091,1.388191
Segment,strong,80/20,uniform,16,2000000,16384,0.80,0.00,0.294392,6.794,4.715,1.388191
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.70,2.363442,0.846,0.595,1.405975
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.70,1.386823,1.442,1.014,1.405975
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.70,0.818773,2.443,1.717,1.405975
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.70,0.586921,3.408,2.396,1.405975
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.70,0.487804,4.100,2.882,1.405975
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.90,1.903323,1.051,0.735,1.398970
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.90,1.128025,1.773,1.240,1.398970
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.90,0.737136,2.713,1.898,1.398970
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.90,0.582057,3.436,2.403,1.398970
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.90,0.478608,4.179,2.923,1.398970
Segment,strong,80/20,skew,1,2000000,16384,0.80,0.99,1.695260,1.180,0.826,1.400757
Segment,strong,80/20,skew,2,2000000,16384,0.80,0.99,1.020815,1.959,1.372,1.400757
Segment,strong,80/20,skew,4,2000000,16384,0.80,0.99,0.707847,2.825,1.979,1.400757
Segment,strong,80/20,skew,8,2000000,16384,0.80,0.99,0.576680,3.468,2.429,1.400757
Segment,strong,80/20,skew,16,2000000,16384,0.80,0.99,0.483226,4.139,2.899,1.400757
Segment,strong,80/20,uniform,1,2000000,65536,0.80,0.00,0.759486,2.633,0.411,0.311952
Segment,strong,80/20,uniform,2,2000000,65536,0.80,0.00,0.537762,3.719,0.580,0.311952
Segment,strong,80/20,uniform,4,2000000,65536,0.80,0.00,0.338919,5.901,0.920,0.311952
Segment,strong,80/20,uniform,8,2000000,65536,0.80,0.00,0.216929,9.220,1.438,0.311952
Segment,strong,80/20,uniform,16,2000000,65536,0.80,0.00,0.168040,11.902,1.856,0.311952
Segment,strong,80/20,skew,1,2000000,65536,0.80,0.70,0.780344,2.563,0.462,0.360758
Segment,strong,80/20,skew,2,2000000,65536,0.80,0.70,0.454145,4.404,0.794,0.360758
Segment,strong,80/20,skew,4,2000000,65536,0.80,0.70,0.360496,5.548,1.001,0.360758
Segment,strong,80/20,skew,8,2000000,65536,0.80,0.70,0.338870,5.902,1.065,0.360758
Segment,strong,80/20,skew,16,2000000,65536,0.80,0.70,0.320599,6.238,1.125,0.360758
Segment,strong,80/20,skew,1,2000000,65536,0.80,0.90,0.655299,3.052,0.543,0.355721
Segment,strong,80/20,skew,2,2000000,65536,0.80,0.90,0.393982,5.076,0.903,0.355721
Segment,strong,80/20,skew,4,2000000,65536,0.80,0.90,0.343977,5.814,1.034,0.355721
Segment,strong,80/20,skew,8,2000000,65536,0.80,0.90,0.334213,5.984,1.064,0.355721
Segment,strong,80/20,skew,16,2000000,65536,0.80,0.90,0.308191,6.489,1.154,0.355721
Segment,strong,80/20,skew,1,2000000,65536,0.80,0.99,0.596997,3.350,0.594,0.354556
Segment,strong,80/20,skew,2,2000000,65536,0.80,0.99,0.367246,5.446,0.965,0.354556
Segment,strong,80/20,skew,4,2000000,65536,0.80,0.99,0.331324,6.036,1.070,0.354556
Segment,strong,80/20,skew,8,2000000,65536,0.80,0.99,0.332316,6.018,1.067,0.354556
Segment,strong,80/20,skew,16,2000000,65536,0.80,0.99,0.305221,6.553,1.162,0.354556
Segment,strong,80/20,uniform,1,2000000,262144,0.80,0.00,0.286592,6.979,0.376,0.107731
Segment,strong,80/20,uniform,2,2000000,262144,0.80,0.00,0.230224,8.687,0.468,0.107731
Segment,strong,80/20,uniform,4,2000000,262144,0.80,0.00,0.190562,10.495,0.565,0.107731
Segment,strong,80/20,uniform,8,2000000,262144,0.80,0.00,0.148957,13.427,0.723,0.107731
Segment,strong,80/20,uniform,16,2000000,262144,0.80,0.00,0.140784,14.206,0.765,0.107731
Segment,strong,80/20,skew,1,2000000,262144,0.80,0.70,0.414289,4.828,0.371,0.153823
Segment,strong,80/20,skew,2,2000000,262144,0.80,0.70,0.244706,8.173,0.629,0.153823
Segment,strong,80/20,skew,4,2000000,262144,0.80,0.70,0.273558,7.311,0.562,0.153823
Segment,strong,80/20,skew,8,2000000,262144,0.80,0.70,0.321450,6.222,0.479,0.153823
Segment,strong,80/20,skew,16,2000000,262144,0.80,0.70,0.296185,6.753,0.519,0.153823
Segment,strong,80/20,skew,1,2000000,262144,0.80,0.90,0.375095,5.332,0.394,0.147930
Segment,strong,80/20,skew,2,2000000,262144,0.80,0.90,0.220210,9.082,0.672,0.147930
Segment,strong,80/20,skew,4,2000000,262144,0.80,0.90,0.258851,7.726,0.571,0.147930
Segment,strong,80/20,skew,8,2000000,262144,0.80,0.90,0.307798,6.498,0.481,0.147930
Segment,strong,80/20,skew,16,2000000,262144,0.80,0.90,0.284581,7.028,0.520,0.147930
Segment,strong,80/20,skew,1,2000000,262144,0.80,0.99,0.350673,5.703,0.418,0.146746
Segment,strong,80/20,skew,2,2000000,262144,0.80,0.99,0.208037,9.614,0.705,0.146746
Segment,strong,80/20,skew,4,2000000,262144,0.80,0.99,0.251596,7.949,0.583,0.146746
Segment,strong,80/20,skew,8,2000000,262144,0.80,0.99,0.301176,6.641,0.487,0.146746
Segment,strong,80/20,skew,16,2000000,262144,0.80,0.99,0.281033,7.117,0.522,0.146746
Segment,strong,80/20,uniform,1,2000000,1048576,0.80,0.00,0.227794,8.780,0.264,0.060130
Segment,strong,80/20,uniform,2,2000000,1048576,0.80,0.00,0.185280,10.794,0.325,0.060130
Segment,strong,80/20,uniform,4,2000000,1048576,0.80,0.00,0.150412,13.297,0.400,0.060130
Segment,strong,80/20,uniform,8,2000000,1048576,0.80,0.00,0.131532,15.205,0.457,0.060130
